資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),発生地点,道路管理者区分,道路区分,道路構造,曲線半径,縦断勾配,トンネル番号,当事者車両台数,車両単独事故の対象物,臨時速度規制の有無,速度規制（臨時のみ）,トンネル延長距離,緯度,経度,発生日,発生時,color
本票,福井,中央,0006,負傷,0,2,37000,対象外,0000,201,昼－昼,雪,非市街地,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,標準－反射式,表示あり,規制なし,表示なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分なし,車両相互,25～34歳,55～64歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,80,10,小破,小破,その他,その他,その他,その他,損傷なし,負傷,金,その他,,,,,,,,,,,,,36.092208,136.255958,2018-12-28,14:42,blue
本票,福井,中央,0007,負傷,0,1,04160,対象外,0000,201,昼－昼,曇,非市街地,舗装－凍結,単路－橋,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,45～54歳,0～24歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,月,その他,,,,,,,,,,,,,36.119632,136.170292,2018-12-10,08:05,blue
本票,福井,中央,0008,負傷,0,1,37000,対象外,0000,201,夜－夜,雨,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－路側帯,車両相互,75歳以上,25～34歳,乗用車－普通車,乗用車－軽自動車,事業用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,30,60,小破,小破,その他,その他,その他,その他,損傷なし,負傷,水,その他,,,,,,,,,,,,,36.062347,136.214341,2018-12-26,18:01,blue
本票,福井,中央,0009,負傷,0,1,00080,上,0000,201,夜－夜,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－9.0m以上,直線－上り,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,35～44歳,35～44歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,30,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,土,その他,,,,,,,,,,,,,36.104856,136.254642,2018-12-15,17:50,blue
本票,福井,中央,0010,負傷,0,1,37000,対象外,0000,201,夜－暮,雨,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,25～34歳,35～44歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,火,当日,,,,,,,,,,,,,36.076482,136.197387,2019-01-01,17:15,blue
本票,福井,中央,0011,負傷,0,1,37000,対象外,0000,201,夜－夜,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,人対車両,55～64歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,土,その他,,,,,,,,,,,,,36.057063,136.221896,2018-12-01,19:19,blue
本票,福井,中央,0012,負傷,0,1,00080,上,0000,201,昼－昼,雨,市街地－その他,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,対象外当事者,その他,対象外当事者,その他,単路－13.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,25～34歳,0～24歳,貨物車－準中型車,乗用車－軽自動車,自家用,自家用,貨物車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,13,小破,小破,その他,その他,その他,その他,損傷なし,損傷なし,月,その他,,,,,,,,,,,,,36.062332,136.241779,2018-12-17,12:57,blue
本票,福井,中央,0013,負傷,0,1,37000,対象外,0000,201,夜－夜,雨,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,標準－反射式,表示あり,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分なし,車両相互,0～24歳,35～44歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,10,40,中破,中破,その他,その他,その他,その他,損傷なし,負傷,木,その他,,,,,,,,,,,,,36.074077,136.237347,2018-12-27,18:06,blue
本票,福井,中央,0014,負傷,0,1,37000,対象外,0000,201,昼－暮,雨,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,0～24歳,55～64歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,80,70,小破,小破,その他,その他,その他,その他,損傷なし,負傷,日,その他,,,,,,,,,,,,,36.088539,136.249286,2018-12-09,15:41,blue
本票,福井,中央,0015,負傷,0,3,37000,対象外,0000,201,昼－明,曇,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,標準－反射式,表示あり,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,25～34歳,25～34歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,30㎞／ｈ以下,80,70,小破,中破,その他,その他,その他,その他,負傷,負傷,火,その他,,,,,,,,,,,,,36.093794,136.213052,2018-12-11,07:50,blue
本票,福井,中央,0016,負傷,0,1,10360,対象外,0000,201,夜－夜,雨,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－押ボタン式,規制なし,表示なし,対象外当事者,その他,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,人対車両,45～54歳,55～64歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,日,その他,,,,,,,,,,,,,36.115305,136.233928,2018-12-09,17:51,blue
本票,福井,中央,0017,負傷,0,1,10010,対象外,0000,201,昼－昼,雪,非市街地,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－9.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,35～44歳,65～74歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,土,その他,,,,,,,,,,,,,36.119010,136.201032,2018-12-29,09:35,blue
本票,福井,中央,0018,負傷,0,1,10340,対象外,0000,201,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－大（13.0ｍ以上）－大,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,35～44歳,55～64歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,40,中破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,,,,,,,,,,,,,36.062239,136.217483,2019-01-07,21:35,blue
本票,福井,中央,0019,負傷,0,1,10360,対象外,0000,201,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,65～74歳,0～24歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,50,50,小破,小破,その他,その他,その他,その他,損傷なし,負傷,土,その他,,,,,,,,,,,,,36.116543,136.238288,2019-01-05,23:44,blue
本票,福井,中央,0020,負傷,0,1,10010,対象外,0000,201,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,対象外当事者,その他,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,0～24歳,不明,軽車両－自転車,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,00,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,負傷,対象外当事者,土,その他,,,,,,,,,,,,,36.063961,136.213068,2018-10-27,12:26,blue
本票,福井,中央,0021,負傷,0,3,37000,対象外,0000,201,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,標準－反射式,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,25～34歳,45～54歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,80,50,中破,中破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,負傷,日,その他,,,,,,,,,,,,,36.082068,136.243716,2018-12-30,14:52,blue
本票,福井,中央,0022,負傷,0,1,37000,対象外,0000,201,昼－昼,雨,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,規制なし,表示なし,交差点－大（13.0ｍ以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,75歳以上,0～24歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,日,その他,,,,,,,,,,,,,36.082530,136.224344,2018-12-09,10:45,blue
本票,福井,中央,0023,負傷,0,1,37000,対象外,0000,201,夜－明,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,35～44歳,55～64歳,貨物車－軽自動車,貨物車－軽自動車,自家用,自家用,貨物車,貨物車,40㎞／ｈ以下,40㎞／ｈ以下,10,80,中破,中破,その他,装備あり 作動,その他,その他,損傷なし,負傷,金,その他,,,,,,,,,,,,,36.077468,136.209632,2019-01-11,06:44,blue
本票,福井,中央,0024,負傷,0,1,37000,対象外,0000,201,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,45～54歳,25～34歳,乗用車－普通車,貨物車－軽自動車,自家用,事業用,乗用車,貨物車,40㎞／ｈ以下,指定の速度規制なし等,20,80,小破,小破,その他,その他,その他,その他,負傷,損傷なし,金,その他,,,,,,,,,,,,,36.065270,136.248626,2019-01-04,12:10,blue
本票,福井,中央,0025,負傷,0,1,37000,対象外,0000,201,昼－昼,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,対象外当事者,その他,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,人対車両,75歳以上,55～64歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,,,,,,,,,,,,,36.046513,136.253893,2018-12-25,09:23,blue
本票,福井,中央,0026,負傷,0,2,00080,上,0403,201,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－13.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,65～74歳,45～54歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,30,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,土,前日,,,,,,,,,,,,,36.057657,136.241792,2018-12-22,10:59,blue
本票,福井,中央,0027,負傷,0,1,37000,対象外,0000,201,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,35～44歳,35～44歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,80,10,中破,中破,その他,その他,その他,その他,損傷なし,負傷,月,当日,,,,,,,,,,,,,36.117477,136.231024,2019-01-14,17:50,blue
本票,福井,中央,0028,負傷,0,1,10360,対象外,0000,201,昼－明,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,75歳以上,0～24歳,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,80,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,,,,,,,,,,,,,36.070114,136.218234,2019-01-08,07:57,blue
本票,福井,中央,0029,負傷,0,1,37000,対象外,0000,201,夜－夜,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,規制なし,表示なし,拡大－反射式,表示あり,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,65～74歳,55～64歳,乗用車－普通車,貨物車－普通車,自家用,事業用,乗用車,貨物車,50㎞／ｈ以下,40㎞／ｈ以下,50,10,中破,中破,その他,その他,その他,その他,負傷,損傷なし,火,その他,,,,,,,,,,,,,36.088805,136.243474,2019-01-15,05:00,blue
本票,福井,中央,0030,負傷,0,1,37000,対象外,0000,201,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,65～74歳,35～44歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,14,12,小破,小破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,負傷,火,その他,,,,,,,,,,,,,36.080237,136.215753,2018-12-18,12:48,blue
本票,福井,中央,0031,負傷,0,1,37000,対象外,0000,201,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点滅－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,0～24歳,25～34歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,30㎞／ｈ以下,指定の速度規制なし等,80,50,中破,中破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,負傷,火,その他,,,,,,,,,,,,,36.097016,136.213499,2019-01-08,22:10,blue
本票,福井,中央,0032,負傷,0,1,37000,対象外,0000,201,夜－夜,雪,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,規制なし,表示なし,規制なし,表示なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,45～54歳,0～24歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,日,その他,,,,,,,,,,,,,36.076099,136.197270,2018-12-30,21:38,blue
本票,福井,中央,0033,負傷,0,1,10010,対象外,0000,201,昼－暮,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－13.0m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－縁石・ブロック等,車両相互,25～34歳,55～64歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,80,20,小破,小破,その他,その他,その他,その他,負傷,損傷なし,土,その他,,,,,,,,,,,,,36.053448,136.239390,2019-01-19,17:01,blue
本票,福井,中央,0034,負傷,0,2,37000,対象外,0000,201,昼－暮,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,対象外当事者,その他,対象外当事者,その他,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,55～64歳,65～74歳,乗用車－普通車,貨物車－普通車,事業用,自家用,乗用車,貨物車,40㎞／ｈ以下,40㎞／ｈ以下,00,00,損壊なし,損壊なし,その他,その他,その他,その他,損傷なし,損傷なし,木,その他,,,,,,,,,,,,,36.069473,136.197421,2019-01-10,16:50,blue
