資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color
本票,愛媛,中央,0011,負傷,0,1,00110,上,0000,213,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,14,9,交差点内,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,前日,34.009904,133.572399,2018-12-31,13:46,blue
本票,愛媛,中央,0012,負傷,0,1,00111,上,1557,213,昼－昼,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,17,9,交差点内,規制なし,1,2,車両相互,55～64歳,65～74歳,貨物車－軽自動車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,50,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,33.973485,133.528153,2019-01-15,15:48,blue
本票,愛媛,中央,0013,負傷,0,1,00110,上,0000,213,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,08,22,14,4,交差点内,規制なし,5,2,車両相互,0～24歳,45～54歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,指定の速度規制なし等,40,50,中破,中破,その他,その他,その他,その他,負傷,損傷なし,金,その他,33.978890,133.534341,2018-12-28,19:05,blue
本票,愛媛,中央,0014,負傷,0,1,37000,対象外,0000,213,昼－明,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,14,9,交差点内,規制なし,4,2,車両相互,65～74歳,25～34歳,貨物車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,貨物車,対象外当事者,指定の速度規制なし等,40㎞／ｈ以下,60,10,小破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,水,その他,33.996296,133.572049,2019-01-23,07:11,blue
本票,愛媛,中央,0015,負傷,0,1,25000,対象外,0000,213,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,3,人対車両,45～54歳,45～54歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,33.999986,133.579247,2019-01-29,08:50,blue
本票,愛媛,中央,0016,負傷,0,1,01920,下,0000,213,夜－夜,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,19,9,交差点内,規制なし,1,2,車両相互,45～54歳,0～24歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,金,その他,33.991101,133.581319,2019-01-25,20:05,blue
本票,愛媛,白石,0001,負傷,0,1,37000,対象外,0000,205,昼－昼,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,75歳以上,0～24歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,30,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,月,当日,33.951855,133.282795,2018-12-24,13:11,blue
本票,愛媛,白石,0002,負傷,0,1,25000,対象外,0000,205,昼－昼,曇,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,35～44歳,55～64歳,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,日,その他,33.950443,133.287716,2018-12-30,08:15,blue
本票,愛媛,白石,0003,負傷,0,1,37000,対象外,0000,205,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,4,2,車両相互,35～44歳,0～24歳,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,33.951366,133.280209,2018-12-10,17:46,blue
本票,愛媛,白石,0004,負傷,0,1,00110,下,1777,205,夜－夜,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,03,8,単路（交差点付近を含む）,規制なし,4,3,車両相互,45～54歳,25～34歳,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,木,その他,33.935297,133.298080,2018-12-06,18:14,blue
本票,愛媛,白石,0005,負傷,0,1,37000,対象外,0000,205,昼－暮,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,22,09,22,14,9,交差点内,規制なし,5,3,車両相互,55～64歳,55～64歳,乗用車－普通車,貨物車－普通車,自家用,自家用,乗用車,貨物車,指定の速度規制なし等,指定の速度規制なし等,81,15,小破,小破,その他,その他,その他,その他,損傷なし,負傷,土,その他,33.936234,133.336873,2019-01-05,17:00,blue
本票,愛媛,白石,0006,負傷,0,1,37000,対象外,0000,205,昼－昼,晴,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,4,車両相互,55～64歳,65～74歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,日,その他,33.971408,133.296977,2019-01-06,13:00,blue
本票,愛媛,白石,0007,負傷,0,1,37380,対象外,0000,205,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－歩車分式,09,22,09,22,18,3,交差点内,規制なし,4,2,車両相互,75歳以上,35～44歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,81,51,中破,中破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,負傷,土,その他,33.965515,133.297607,2018-12-29,11:40,blue
本票,愛媛,白石,0008,負傷,0,1,25000,対象外,0000,205,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,4,3,車両単独,75歳以上,不明,乗用車－軽自動車,物件等,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,金,その他,33.967978,133.359304,2019-01-11,10:30,blue
本票,愛媛,白石,0009,負傷,0,1,37000,対象外,0000,205,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,01,21,17,9,交差点内,規制なし,4,3,車両相互,45～54歳,55～64歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,30㎞／ｈ以下,30㎞／ｈ以下,80,52,中破,中破,その他,装備あり 作動,その他,その他,損傷なし,損傷なし,火,その他,33.963833,133.278064,2019-01-08,09:30,blue
本票,愛媛,白石,0010,負傷,0,1,37370,対象外,0000,205,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点滅－１灯式,09,21,08,21,14,9,交差点内,規制なし,5,3,車両相互,25～34歳,75歳以上,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,40㎞／ｈ以下,指定の速度規制なし等,20,10,中破,小破,その他,その他,その他,その他,負傷,損傷なし,月,その他,33.971361,133.306827,2019-01-07,11:25,blue
本票,愛媛,白石,0011,負傷,0,1,99000,対象外,0000,205,夜－暮,晴,非市街地,舗装－乾燥,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,4,車両相互,75歳以上,65～74歳,乗用車－軽自動車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,70,14,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,前日,33.963135,133.286248,2018-12-31,17:40,blue
本票,愛媛,白石,0012,負傷,0,1,00110,下,0000,205,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,17,9,交差点内,規制なし,5,2,車両相互,45～54歳,55～64歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,40㎞／ｈ以下,10,20,中破,中破,装備あり 作動,その他,その他,その他,損傷なし,負傷,日,その他,33.926592,133.262189,2019-01-06,09:54,blue
本票,愛媛,白石,0013,負傷,0,1,37000,対象外,0000,205,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,00,23,15,9,交差点内,規制なし,4,2,人対車両,55～64歳,25～34歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,33.961614,133.282410,2019-01-07,18:17,blue
本票,愛媛,白石,0014,負傷,0,1,37000,対象外,0000,205,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,22,09,22,11,9,交差点内,規制なし,5,3,車両相互,75歳以上,75歳以上,乗用車－軽自動車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,10,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,金,その他,33.926179,133.262404,2019-01-11,12:15,blue
本票,愛媛,白石,0015,負傷,0,4,37000,対象外,0000,205,昼－昼,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,3,車両相互,25～34歳,45～54歳,乗用車－普通車,貨物車－軽自動車,自家用,事業用,乗用車,貨物車,40㎞／ｈ以下,40㎞／ｈ以下,30,80,小破,小破,その他,その他,その他,その他,負傷,損傷なし,火,その他,33.957557,133.268931,2018-12-25,14:45,blue
本票,愛媛,白石,0016,負傷,0,1,37000,対象外,0000,205,昼－明,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点滅－１灯式,09,22,09,21,15,9,交差点内,規制なし,5,3,車両相互,35～44歳,55～64歳,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,30㎞／ｈ以下,30㎞／ｈ以下,26,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,木,その他,33.967953,133.307468,2019-01-17,08:03,blue
本票,愛媛,白石,0017,負傷,0,1,14310,対象外,0000,205,昼－昼,晴,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,3,車両相互,55～64歳,55～64歳,貨物車－普通車,乗用車－軽自動車,自家用,自家用,貨物車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,水,その他,33.934857,133.298043,2019-01-16,13:18,blue
本票,愛媛,白石,0018,負傷,0,1,14050,対象外,0000,205,昼－昼,晴,非市街地,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,08,22,11,9,交差点内,規制なし,1,2,車両相互,35～44歳,25～34歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,水,その他,33.960728,133.284591,2019-01-16,10:40,blue
本票,愛媛,白石,0019,負傷,0,1,00110,上,0000,205,夜－明,晴,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,55～64歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,中破,中破,その他,その他,その他,その他,損傷なし,負傷,火,その他,33.939418,133.333041,2019-01-08,07:02,blue
本票,愛媛,白石,0020,負傷,0,1,37000,対象外,0000,205,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,14,9,交差点内,規制なし,4,3,車両相互,65～74歳,25～34歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,日,前日,33.976933,133.295934,2019-01-13,18:04,blue
本票,愛媛,白石,0021,負傷,0,1,37000,対象外,0000,205,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,4,人対車両,75歳以上,0～24歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,33.935816,133.302348,2019-01-21,13:23,blue
本票,愛媛,白石,0022,負傷,0,1,00114,上,1767,205,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,1,2,車両相互,45～54歳,45～54歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,指定の速度規制なし等,10,60,中破,中破,その他,その他,その他,その他,損傷なし,負傷,日,その他,33.942781,133.310153,2018-12-30,11:40,blue
本票,愛媛,白石,0023,負傷,0,1,25050,対象外,0000,205,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,14,9,交差点内,規制なし,4,2,車両相互,25～34歳,0～24歳,貨物車－軽自動車,二輪車－原付自転車,自家用,自家用,貨物車,対象外当事者,40㎞／ｈ以下,指定の速度規制なし等,40,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,33.947932,133.281566,2019-01-21,11:40,blue
本票,愛媛,白石,0024,負傷,0,1,25430,対象外,0000,205,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,14,9,交差点内,規制なし,4,2,車両相互,75歳以上,65～74歳,乗用車－軽自動車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,指定の速度規制なし等,80,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,33.966321,133.312923,2019-01-22,16:00,blue
本票,愛媛,白石,0025,負傷,0,1,25050,対象外,0000,205,夜－暮,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,2,車両相互,35～44歳,0～24歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,15,41,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,火,その他,33.935167,133.284317,2019-01-22,17:58,blue
本票,愛媛,白石,0026,負傷,0,2,00110,上,1750,205,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,その他,規制なし,4,2,車両相互,25～34歳,75歳以上,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,小破,小破,その他,その他,その他,その他,損傷なし,負傷,土,その他,33.939218,133.328926,2019-01-19,15:25,blue
本票,愛媛,白石,0027,負傷,0,1,37000,対象外,0000,205,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,4,車両単独,75歳以上,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,80,00,中破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,水,その他,33.944472,133.293195,2019-01-23,12:35,blue
本票,愛媛,西,0001,負傷,0,1,14040,対象外,0000,206,夜－暮,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,75歳以上,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,40,10,中破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,月,その他,33.926745,133.177962,2018-11-26,17:37,blue
本票,愛媛,西,0002,負傷,0,1,25240,対象外,0000,206,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,65～74歳,45～54歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,50,70,小破,小破,その他,その他,その他,その他,損傷なし,損傷なし,日,当日,33.918333,133.185608,2018-12-23,12:33,blue
本票,愛媛,西,0003,負傷,0,1,00110,下,1856,206,夜－夜,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,09,22,14,9,交差点内,規制なし,4,2,車両相互,0～24歳,25～34歳,乗用車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,50㎞／ｈ以下,20,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,水,その他,33.916732,133.218688,2018-12-26,20:40,blue
本票,愛媛,西,0004,負傷,0,1,37000,対象外,0000,206,夜－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,09,22,14,9,交差点内,規制なし,5,2,車両相互,25～34歳,55～64歳,乗用車－軽自動車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,30㎞／ｈ以下,指定の速度規制なし等,40,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,木,その他,33.911598,133.171582,2018-12-27,17:13,blue
本票,愛媛,西,0005,負傷,0,1,37000,対象外,0000,206,夜－暮,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,45～54歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,10,13,小破,小破,その他,その他,その他,その他,損傷なし,負傷,水,その他,33.943616,133.215815,2019-01-09,17:40,blue
