資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color,発生地点,道路管理者区分,道路区分,道路構造,曲線半径,縦断勾配,トンネル番号,当事者車両台数,車両単独事故の対象物,臨時速度規制の有無,速度規制（臨時のみ）,トンネル延長距離
本票,宮城,つがる,0002,死亡,1,0,21050,対象外,0000,341,夜－夜,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,3,人対車両,35～44歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,37.935987,140.671393,2019-01-08,23:17,red,,,,,,,,,,,,
本票,宮城,つがる,0004,死亡,1,0,01130,上,0000,341,夜－暮,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,7,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,37.920741,140.773106,2019-01-30,17:12,red,,,,,,,,,,,,
本票,宮城,美唄,0004,死亡,1,0,30000,対象外,0000,202,夜－暮,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,01,9,単路（交差点付近を含む）,規制なし,5,4,車両単独,75歳以上,不明,二輪車－原付自転車,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,月,その他,38.463685,141.206244,2019-01-07,17:10,red,,,,,,,,,,,,
本票,宮城,三戸,0004,死亡,1,1,30000,対象外,0000,205,昼－昼,雪,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,11,9,その他,規制なし,5,4,車両単独,75歳以上,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,土,その他,38.879069,141.572945,2019-01-26,15:00,red,,,,,,,,,,,,
本票,秋田,芦別,0001,死亡,1,0,00070,下,2168,214,夜－暮,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,39.286084,139.957229,2019-01-08,16:45,red,,,,,,,,,,,,
本票,秋田,静内,0002,死亡,1,0,00130,下,2112,207,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,1,人対車両,55～64歳,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,当日,39.162352,140.488962,2019-01-14,18:20,red,,,,,,,,,,,,
本票,山形,中央,0042,死亡,1,0,20000,対象外,0000,201,夜－暮,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,65～74歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,当日,38.206583,140.320250,2019-01-14,17:10,red,,,,,,,,,,,,
本票,山形,中央,0065,死亡,1,0,00130,上,0914,201,昼－昼,曇,市街地－人口集中,舗装－湿潤,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,1,3,車両単独,75歳以上,不明,貨物車－軽自動車,物件等,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,大破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,木,その他,38.250889,140.355667,2019-01-17,14:15,red,,,,,,,,,,,,
本票,山形,中央,0098,死亡,1,1,20000,対象外,0000,201,昼－昼,曇,非市街地,舗装－凍結,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両単独,35～44歳,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,大破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,対象外当事者,金,その他,38.303944,140.396694,2019-01-25,08:50,red,,,,,,,,,,,,
本票,山形,白石,0015,死亡,1,0,30000,対象外,0000,203,昼－昼,雨,市街地－その他,舗装－湿潤,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,5,4,人対車両,75歳以上,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,38.557444,139.547056,2019-01-20,13:14,red,,,,,,,,,,,,
本票,山形,西,0030,死亡,1,0,99000,対象外,0000,204,昼－昼,曇,市街地－その他,舗装－乾燥,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,4,人対車両,25～34歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,38.891390,139.851668,2019-01-31,15:47,red,,,,,,,,,,,,
本票,山形,東,0007,死亡,1,1,01210,上,0215,202,昼－暮,雪,非市街地,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,0～24歳,55～64歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,20,大破,大破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,死亡,火,その他,37.918472,140.067944,2019-01-08,16:06,red,,,,,,,,,,,,
本票,福島,高速道路交通警察隊,0001,死亡,1,2,42120,下,1988,541,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,3,4,車両単独,0～24歳,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,70㎞／ｈ以下,対象外当事者,11,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,火,当日,37.210055,140.981441,2019-01-01,15:17,red,1988,東日本高速道路,走行車線－第一通行帯,12,9,0,,1,防護柵－ガードレール,0,00,0
本票,福島,白石,0001,死亡,1,0,00040,上,2788,201,夜－夜,曇,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,3,2,人対車両,0～24歳,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,37.807721,140.495797,2019-01-03,21:58,red,,,,,,,,,,,,
本票,福島,伊達,0014,死亡,1,0,10000,対象外,0000,204,夜－暮,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,3,単路（交差点付近を含む）,規制なし,4,2,人対車両,55～64歳,65～74歳,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,36.997086,140.808542,2019-01-10,17:25,red,,,,,,,,,,,,
本票,福島,北,0001,死亡,1,2,00060,上,2905,212,夜－暮,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,7,単路（交差点付近を含む）,規制なし,4,2,車両相互,0～24歳,55～64歳,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,指定の速度規制なし等,指定の速度規制なし等,13,10,大破,大破,装備あり 作動,その他,その他,その他,負傷,死亡,水,その他,37.741271,140.954027,2019-01-09,17:17,red,,,,,,,,,,,,
本票,福島,厚別,0001,死亡,1,0,30000,対象外,0000,214,昼－昼,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,01,21,14,9,交差点内,規制なし,5,2,車両相互,65～74歳,75歳以上,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,88,10,中破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,37.527905,140.433774,2019-01-02,10:55,red,,,,,,,,,,,,
本票,東京,高速道路交通警察隊,0001,死亡,1,0,50230,上,0000,108,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,6,単路（交差点付近を含む）,規制なし,1,4,車両相互,25～34歳,0～24歳,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,60㎞／ｈ以下,60㎞／ｈ以下,30,20,中破,大破,その他,装備あり 作動,その他,その他,損傷なし,死亡,木,その他,35.661841,139.806066,2019-01-03,03:28,red,0,首都高速道路,走行車線－第二通行帯以上,08,2,0,,2,該当なし,0,00,0
本票,東京,三戸,0001,死亡,1,0,85000,対象外,0000,108,夜－暮,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,5,1,車両相互,45～54歳,0～24歳,貨物車－大型車,二輪車－自動二輪－軽二輪－126～250cc,事業用,自家用,貨物車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,50,10,小破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,35.625541,139.777403,2019-01-25,17:45,red,,,,,,,,,,,,
本票,東京,大森,0001,死亡,1,0,10130,対象外,0000,111,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,17,9,交差点内,規制なし,5,1,人対車両,55～64歳,75歳以上,貨物車－大型車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.578380,139.732181,2019-01-16,11:18,red,,,,,,,,,,,,
本票,東京,中野,0001,死亡,1,0,10220,対象外,0000,114,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,1,人対車両,45～54歳,75歳以上,貨物車－普通車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.709856,139.668450,2019-01-16,18:03,red,,,,,,,,,,,,
本票,東京,板橋,0001,死亡,1,0,30000,対象外,0000,119,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,80,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,35.751880,139.696116,2019-01-20,18:30,red,,,,,,,,,,,,
本票,東京,竹の塚,0001,死亡,1,0,30000,対象外,0000,121,夜－夜,雨,市街地－人口集中,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,2,人対車両,25～34歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,前日,35.813041,139.824036,2019-01-13,00:09,red,,,,,,,,,,,,
本票,東京,城東,0001,死亡,1,1,20650,対象外,0000,108,夜－暮,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,1,人対車両,35～44歳,55～64歳,二輪車－自動二輪－原付二種－51～125cc,歩行者,自家用,対象外当事者,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,負傷,死亡,水,その他,35.676522,139.833937,2019-01-02,17:25,red,,,,,,,,,,,,
本票,東京,城東,0002,死亡,1,0,10290,対象外,0000,108,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,5,1,車両相互,65～74歳,45～54歳,貨物車－軽自動車,二輪車－原付自転車,自家用,自家用,貨物車,対象外当事者,50㎞／ｈ以下,指定の速度規制なし等,10,20,中破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,35.701606,139.831322,2019-01-24,11:15,red,,,,,,,,,,,,
本票,東京,亀有,0001,死亡,1,0,30000,対象外,0000,122,夜－夜,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,22,00,23,11,7,交差点内,規制なし,5,3,車両単独,75歳以上,不明,乗用車－普通車,相手なし,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,10,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,死亡,対象外当事者,土,その他,35.791066,139.853639,2019-01-12,18:05,red,,,,,,,,,,,,
本票,東京,東大和,0001,死亡,1,0,99000,対象外,0000,220,夜－夜,晴,市街地－その他,舗装－乾燥,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,2,人対車両,35～44歳,65～74歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,35.752407,139.445914,2019-01-25,19:30,red,,,,,,,,,,,,
本票,東京,新島,0001,死亡,1,0,30000,対象外,0000,363,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,08,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,65～74歳,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,34.363235,139.255903,2019-01-18,16:00,red,,,,,,,,,,,,
本票,茨城,白石,0026,死亡,1,0,03550,対象外,0000,216,夜－夜,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,7,単路（交差点付近を含む）,規制なし,4,2,人対車両,35～44歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,52,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,36.330215,140.284189,2019-01-18,22:40,red,,,,,,,,,,,,
本票,茨城,千歳,0001,死亡,1,1,30000,対象外,0000,225,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,8,単路（交差点付近を含む）,規制なし,4,2,車両相互,75歳以上,25～34歳,乗用車－軽自動車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,52,10,小破,大破,その他,対象外当事者,その他,対象外当事者,負傷,死亡,土,その他,36.582742,140.411023,2019-01-05,14:20,red,,,,,,,,,,,,
本票,茨城,野辺地,0001,死亡,2,1,30000,対象外,0000,215,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,11,9,交差点内,規制なし,5,4,車両相互,45～54歳,45～54歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,40,小破,中破,装備あり 作動,その他,その他,その他,損傷なし,負傷,水,その他,36.782832,140.733212,2019-01-02,09:04,red,,,,,,,,,,,,
本票,茨城,滝川,0016,死亡,1,4,22430,対象外,0000,208,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,3,交差点内,規制なし,4,2,車両相互,35～44歳,45～54歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,40,10,大破,大破,装備あり 作動,装備あり 作動,その他,その他,負傷,負傷,月,その他,35.927337,140.205883,2019-01-28,09:08,red,,,,,,,,,,,,
本票,茨城,伊達,0010,死亡,1,1,10200,対象外,0000,521,夜－夜,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,55～64歳,貨物車－大型車,貨物車－中型車,自家用,事業用,貨物車,貨物車,50㎞／ｈ以下,50㎞／ｈ以下,50,15,中破,大破,その他,装備あり 作動,その他,その他,負傷,死亡,木,その他,36.164049,139.891175,2019-01-24,04:20,red,,,,,,,,,,,,
本票,茨城,室蘭,0005,死亡,1,0,10410,対象外,0000,231,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,15,9,交差点内,規制なし,4,2,人対車両,55～64歳,75歳以上,貨物車－普通車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,81,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,36.352184,140.098769,2019-01-24,17:45,red,,,,,,,,,,,,
本票,茨城,静内,0007,死亡,1,0,22500,対象外,0000,204,夜－明,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,18,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,36.191911,139.723652,2019-01-09,06:23,red,,,,,,,,,,,,
